提拉	ti~la
遮暇霜	zhe~xia~shuang
遮暇隔离	zhe~xia~ge~li
遮拦	zhe~lan
遮肚子	zhe~du~zi
罩裤	zhao~ku
照着我	zhao~zhao~wo
照片儿	zhao~pian~er
照明设备	zhao~ming~she~bei
照看嗯	zhao~kan~嗯
照顾我	zhao~gu~wo
照顾她	zhao~gu~ta
赵宇	zhao~yu
赵辛	zhao~xin
赵天鸿	zhao~tian~hong
赵顺杰	zhao~shun~jie
赵瑞民	zhao~rui~min
赵美	zhao~mei
赵经理	zhao~jing~li
赵家营	zhao~jia~ying
赵国珍	zhao~guo~zhen
赵晨雪	zhao~chen~xue
兆欧	zhao~ou
找罪受	zhao~zui~shou
找这个游戏	zhao~zhe~ge~you~xi
找银座	zhao~yin~zuo
找我聊	zhao~wo~liao
找我弟去玩	zhao~wo~di~qu~wan
找我的	zhao~wo~de
找涡轮	zhao~wo~lun
找他了	zhao~ta~le
找你有用	zhao~ni~you~yong
找你买	zhao~ni~mai
找你吗	zhao~ni~ma
找你哥	zhao~ni~ge
找你吧	zhao~ni~ba
找莫噷	zhao~mo~xin
找老婆	zhao~lao~po
找老板	zhao~lao~ban
找个宠我的	zhao~ge~chong~wo~de
找到你	zhao~dao~ni
找到个	zhao~dao~ge
找打	zhao~da
找错了	zhao~cuo~le
找出路	zhao~chu~lu
找碴	zhao~cha
找茬	zhao~chi
找不懂	zhao~bu~dong
找不道德	zhao~bu~dao~de
找不到我	zhao~bu~dao~wo
找补校	zhao~bu~xiao
找安慰	zhao~an~wei
昭仪	zhao~yi
昭通市	zhao~tong~shi
招人烦	zhao~ren~fan
招募	zhao~mu
招呼了	zhao~hu~le
招法	zhao~fa
招标公司	zhao~biao~gong~si
障碍物	zhang~ai~wu
账外	zhang~wai
账户余额	zhang~hu~yu~e
账单日	zhang~dan~ri
帐了	zhang~le
杖毙	zhang~bi
丈门	zhang~men
掌门	zhang~men
掌	zhang
长兴	chang~xing
长相厮守	chang~xiang~si~shou
长武	chang~wu
长筒袜	chang~tong~wa
长沙韶山	chang~sha~shao~shan
长沙火车站	chang~sha~huo~che~zhan
长胖	chang~pang
长江三角洲	chang~jiang~san~jiao~zhou
长活	chang~huo
长话短说	chang~hua~duan~shuo
长福路	chang~fu~lu
长点	chang~dian
长大一岁	chang~da~yi~sui
长存	chang~cun
长春队	chang~chun~dui
长出来	chang~chu~lai
长安镇	chang~an~zhen
章飞一绝	zhang~fei~yi~jue
张媛媛	zhang~yuan~yuan
张媛	zhang~yuan
张元泽	zhang~yuan~ze
张玉洁	zhang~yu~jie
张羽佳	zhang~yu~jia
张莹	zhang~ying
张逸杰	zhang~yi~jie
张艺宣	zhang~yi~xuan
张怡	zhang~yi
张信哲	zhang~xin~zhe
张新园	zhang~xin~yuan
张新欢	zhang~xin~huan
张欣馨	zhang~xin~xin
张心意	zhang~xin~yi
张小斐	zhang~xiao~fei
张霞	zhang~xia
张伟玲	zhang~wei~ling
张伟	zhang~wei
张晚意	zhang~wan~yi
张氏	zhang~shi
张千勃	zhang~qian~bo
张起灵	zhang~qi~ling
张明	zhang~ming
张弥	zhang~mi
张梦	zhang~meng
张美	zhang~mei
张鲁	zhang~lu
张良	zhang~liang
张莉莉	zhang~li~li
张雷	zhang~lei
张锦	zhang~jin
张姐烤肉	zhang~jie~kao~rou
张健	zhang~jian
张嘉敏	zhang~jia~min
张家界市	zhang~jia~jie~shi
张红荣	zhang~hong~rong
张衡	zhang~heng
张贺翠	zhang~he~cui
张桂兰	zhang~gui~lan
张福荣	zhang~fu~rong
张德玉	zhang~de~yu
张大的	zhang~da~de
张宝法	zhang~bao~fa
站住脚	zhan~zhu~jiao
站住别跑	zhan~zhu~bie~pao
战役	zhan~yi
战无不胜	zhan~wu~bu~sheng
战塔	zhan~ta
战妮娜	zhan~ni~nuo
战狼特攻队	zhan~lang~te~gong~dui
战狼传奇	zhan~lang~chuan~qi
战法	zhan~fa
战斗力	zhan~dou~li
战报	zhan~bao
占我	zhan~wo
占地面	zhan~di~mian
占便宜	zhan~bian~yi
辗转反侧	zhan~zhuan~fan~ce
辗转	zhan~zhuan
展现	zhan~xian
展翅高飞	zhan~chi~gao~fei
展翅	zhan~chi
詹美妮	zhan~mei~ni
詹成功	zhan~cheng~gong
毡子	zhan~zi
沾你的	zhan~ni~de
沾了	zhan~le
沾福卡	zhan~fu~qia
沾福	zhan~fu
寨壳	zhai~ke
债	zhai
窄小	zhai~xiao
宅在家里	zhai~zai~jia~li
摘录	zhai~lu
炸鸡腿	zha~ji~tui
炸鸡块	zha~ji~kuai
眨眼镜	zha~yan~jing
闸门	zha~men
楂	zha
扎营	zha~ying
扎西顿珠	zha~xi~dun~zhu
扎气球	zha~qi~qiu
扎姑	zha~gu
扎个	zha~ge
扎把机	zha~ba~ji
增辟模糊	zeng~pi~mo~hu
增高鞋	zeng~gao~xie
增高时	zeng~gao~shi
增高	zeng~gao
怎样做泥	zen~yang~zuo~ni
怎样在自动	zen~yang~zai~zi~dong
怎能	zen~neng
怎呒了	zen~fu~le
怎没感觉	zen~mei~gan~jue
怎没伯爵	zen~mei~bo~jue
怎么做的	zen~yao~zuo~de
怎么这项	zen~yao~zhe~xiang
怎么样呀	zen~yao~yang~ya
怎么样的	zen~yao~yang~de
怎么想的	zen~yao~xiang~de
怎么玩	zen~yao~wan
怎么说的	zen~yao~shuo~de
怎么没发放	zen~yao~mei~fa~fang
怎么卖的	zen~yao~mai~de
怎么联系	zen~yao~lian~xi
怎么砍价	zen~yao~kan~jia
怎么画	zen~yao~hua
怎么吃	zen~yao~chi
怎么不可能	zen~yao~bu~ke~neng
怎会	zen~hui
怎个么	zen~ge~yao
贼中贼	zei~zhong~zei
贼贵	zei~gui
泽州县	ze~zhou~xian
泽姐姐	ze~jie~jie
择优录用	ze~you~lu~yong
择业技巧	ze~ye~ji~qiao
责编	ze~bian
造起来	zao~qi~lai
灶头	zao~tou
枣红	zao~hong
枣核	zao~he
枣的	zao~de
早走了	zao~zou~le
早在	zao~zai
早晓得	zao~xiao~de
早想	zao~xiang
早睡了	zao~shui~le
早上叫我	zao~shang~jiao~wo
早上俺	zao~shang~an
早起收红包	zao~qi~shou~hong~bao
早起来了	zao~qi~lai~le
早期教育	zao~qi~jiao~yu
早欧安	zao~ou~an
早拿到了	zao~na~dao~le
早就醒了	zao~jiu~xing~le
早教	zao~jiao
早见	zao~jian
早好	zao~hao
早个贵	zao~ge~gui
早饭了	zao~fan~le
早点睡觉吧	zao~dian~shui~jue~ba
早点散了	zao~dian~san~le
早点来	zao~dian~lai
早点回家	zao~dian~hui~jia
早到	zao~dao
早吃完	zao~chi~wan
早茶	zao~cha
早不记得	zao~bu~ji~de
早搬晚吧你	zao~ban~wan~ba~ni
早安呀	zao~an~ya
凿岩机	zao~yan~ji
凿壁偷光	zao~bi~tou~guang
糟老头	zao~lao~tou
遭人	zao~ren
葬身	zang~shen
脏脏包	zang~zang~bao
暂时没有	zan~shi~mei~you
暂且	zan~qie
攒金	zan~jin
咱以后	zan~yi~hou
咱一起会	zan~yi~qi~hui
咱七点半	zan~qi~dian~ban
咱能	zan~neng
咱明	zan~ming
咱们我能	zan~men~wo~neng
咱俩那个	zan~lia~na~ge
咱俩的	zan~lia~de
咱就职街区	zan~jiu~zhi~jie~qu
咱黄宫城	zan~huang~gong~cheng
咱班成绩谈	zan~ban~cheng~ji~tan
在做什么呢	zai~zuo~shi~yao~ni
在中学	zai~zhong~xue
在中卫	zai~zhong~wei
在这些	zai~zhe~xie
在找你	zai~zhao~ni
在找工作	zai~zhao~gong~zuo
在找到我这	zai~zhao~dao~wo~zhe
在咱姥这	zai~zan~mu~zhe
在游戏	zai~you~xi
在以后	zai~yi~hou
在一些	zai~yi~xie
在一起科	zai~yi~qi~ke
在一起的	zai~yi~qi~de
在新的	zai~xin~de
在心	zai~xin
在线观看	zai~xian~guan~kan
在下午	zai~xia~wu
在细说	zai~xi~shuo
在洗脸	zai~xi~lian
在无锡	zai~wu~xi
在屋头	zai~wu~tou
在乌苏	zai~wu~su
在我回甘府	zai~wo~hui~gan~fu
在我爸	zai~wo~ba
在玩游戏	zai~wan~you~xi
在外四面	zai~wai~si~mian
在外	zai~wai
在谈	zai~tan
在他	zai~ta
在所里	zai~suo~li
在暑假	zai~shu~jia
在收	zai~shou
在世宇	zai~shi~yu
在上课	zai~shang~ke
在上班啊	zai~shang~ban~a
在山亭	zai~shan~ting
在山上	zai~shan~shang
在人	zai~ren
在群里通报	zai~qun~li~tong~bao
在抢了	zai~qiang~le
在陪	zai~pei
在你们俩	zai~ni~men~lia
在奶茶	zai~nai~cha
在那哪	zai~na~na
在哪扫	zai~na~sao
在哪里吗	zai~na~li~ma
在哪个	zai~na~ge
在哪发	zai~na~fa
在命运	zai~ming~yun
在命	zai~ming
在没有	zai~mei~you
在没啥	zai~mei~sha
在卖艺住	zai~mai~yi~zhu
在买本	zai~mai~ben
在路上了	zai~lu~shang~le
在连	zai~lian
在里面	zai~li~mian
在啦	zai~la
在看啥呢	zai~kan~sha~ni
在开	zai~kai
在镜子上看	zai~jing~zi~shang~kan
在劫难逃	zai~jie~nan~tao
在街上了啊	zai~jie~shang~le~a
在街上	zai~jie~shang
在家躺着	zai~jia~tang~zhao
在家出家	zai~jia~chu~jia
在家不化妆	zai~jia~bu~hua~zhuang
在加戏	zai~jia~xi
在回	zai~hui
在划	zai~hua
在给我	zai~gei~wo
在给你发	zai~gei~ni~fa
在干嘛了	zai~gan~ma~le
在干活	zai~gan~huo
在饭店	zai~fan~dian
在电梯	zai~dian~ti
在等我	zai~deng~wo
在大学	zai~da~xue
在出	zai~chu
在充电	zai~chong~dian
在不在吗	zai~bu~zai~ma
在不了	zai~bu~le
在不啊	zai~bu~a
在别的	zai~bie~de
在本班	zai~ben~ban
在本	zai~ben
再长时间	zai~chang~shi~jian
再战	zai~zhan
再有神谟	zai~you~shen~mo
再有没有	zai~you~mei~you
再想想	zai~xiang~xiang
再无	zai~wu
再拖	zai~tuo
再填	zai~tian
再数	zai~shu
再是	zai~shi
再删	zai~shan
再扫	zai~sao
再让	zai~rang
再去吧	zai~qu~ba
再起来	zai~qi~lai
再囖	zai~囖
再拉回	zai~la~hui
再拉和	zai~la~he
再接再厉	zai~jie~zai~li
再见青春	zai~jian~qing~chun
再过两天	zai~guo~liang~tian
再挂	zai~gua
再给钱	zai~gei~qian
再改	zai~gai
再发给	zai~fa~gei
再度	zai~du
再带	zai~dai
再吃点	zai~chi~dian
再吃吧	zai~chi~ba
再不起	zai~bu~qi
宰人	zai~ren
载客	zai~ke
仔裤	zi~ku
栽种	zai~zhong
栽插	zai~cha
灾害	zai~hai
咋子	zha~zi
咋治	zha~zhi
咋在	zha~zai
咋又	zha~you
咋也行	zha~ye~xing
咋也	zha~ye
咋摸黑	zha~mo~hei
咋么	zha~yao
咋卖	zha~mai
咋俩玩那个	zha~lia~wan~na~ge
咋了咋了	zha~le~zha~le
咋就	zha~jiu
咋回	zha~hui
咋还没老	zha~huan~mei~lao
咋还	zha~huan
咋关机了	zha~guan~ji~le
咋个说	zha~ge~shuo
咋咯	zha~ge
咋嗯了	zha~嗯~le
咋不粘锅	zha~bu~nian~guo
咋不说睡你	zha~bu~shuo~shui~ni
咋不可能	zha~bu~ke~neng
砸	za
杂物	za~wu
杂毛	za~mao
杂货	za~huo
杂工	za~gong
蕴藻浜	yun~zao~bang
韵文	yun~wen
酝酿	yun~niang
运转	yun~zhuan
运势	yun~shi
运回	yun~hui
运动会	yun~dong~hui
运单号	yun~dan~hao
运	yun
孕婴店	yun~ying~dian
孕吐	yun~tu
孕妇装	yun~fu~zhuang
郧西	yun~xi
云岩区	yun~yan~qu
云霄	yun~xiao
云雾	yun~wu
云图	yun~tu
云柔纸	yun~rou~zhi
云青岩	yun~qing~yan
云拍	yun~pai
云南的	yun~nan~de
云南白药	yun~nan~bai~yao
云林	yun~lin
云浮市	yun~fu~shi
云儿	yun~er
云朵	yun~duo
云成绩	yun~cheng~ji
晕不逊	yun~bu~xun
越长越多	yue~chang~yue~duo
越野	yue~ye
越秀区	yue~xiu~qu
越位	yue~wei
越塔	yue~ta
越来越少了	yue~lai~yue~shao~le
越叫越傻	yue~jiao~yue~sha
越狠越好	yue~hen~yue~hao
跃跃欲试	yue~yue~yu~shi
悦换了	yue~huan~le
阅读题	yue~du~ti
阅读名著	yue~du~ming~zhu
岳阳市	yue~yang~shi
岳麓书院	yue~lu~shu~yuan
玥神	yue~shen
月一次	yue~yi~ci
月牙	yue~ya
月经失调	yue~jing~shi~diao
月几日	yue~ji~ri
月工	yue~gong
月儿	yue~er
约束	yue~shu
约会去了	yue~hui~qu~le
约翰逊	yue~han~xun
约的时候	yue~de~shi~hou
约策	yue~ce
约安	yue~an
愿意的	yuan~yi~de
院校招生	yuan~xiao~zhao~sheng
怨不得	yuan~bu~de
苑	yuan
远着	yuan~zhao
远联	yuan~lian
远怀近集	yuan~huai~jin~ji
远光	yuan~guang
远安	yuan~an
源记	yuan~ji
缘起缘灭	yuan~qi~yuan~mie
援手	yuan~shou
圆周率	yuan~zhou~lv
圆周	yuan~zhou
圆圆的	yuan~yuan~de
圆通快递	yuan~tong~kuai~di
圆梦	yuan~meng
圆溜溜	yuan~liu~liu
圆领的	yuan~ling~de
圆谎	yuan~huang
原汁原味	yuan~zhi~yuan~wei
原相机	yuan~xiang~ji
原名	yuan~ming
原来我	yuan~lai~wo
原来是	yuan~lai~shi
原件	yuan~jian
原材料	yuan~cai~liao
原版	yuan~ban
袁伟借	yuan~wei~jie
袁姐	yuan~jie
袁大头	yuan~da~tou
袁斌	yuan~bin
员考试	yuan~kao~shi
园艺工具	yuan~yi~gong~ju
园博园	yuan~bo~yuan
元宵乐	yuan~xiao~le
元素系	yuan~su~xi
元氏县	yuan~shi~xian
元日	yuan~ri
元谋人	yuan~mou~ren
元购	yuan~gou
裕景	yu~jing
御姐应	yu~jie~ying
御街有	yu~jie~you
御虎	yu~hu
遇强	yu~qiang
遇见安和师	yu~jian~an~he~shi
域名空间	yu~ming~kong~jian
预习打卡	yu~xi~da~qia
预警	yu~jing
预告片	yu~gao~pian
预付	yu~fu
预测	yu~ce
浴盆	yu~pen
浴巾嗯	yu~jin~嗯
玉珠	yu~zhu
玉亭	yu~ting
玉鹏	yu~peng
玉米柛	yu~mi~shen
玉米秆	yu~mi~gan
玉门市	yu~men~shi
玉里	yu~li
玉兰	yu~lan
玉环	yu~huan
玉华	yu~hua
玉姑娘	yu~gu~niang
玉不琢	yu~bu~zhuo
玉帛	yu~bo
语音室	yu~yin~shi
语音卡	yu~yin~qia
语言实验室	yu~yan~shi~yan~shi
语文书吗	yu~wen~shu~ma
语文了	yu~wen~le
语态	yu~tai
语气道	yu~qi~dao
雨泽	yu~ze
雨疏	yu~shu
雨后	yu~hou
雨锅	yu~guo
雨霏	yu~fei
雨搭	yu~da
羽小贝	yu~xiao~bei
羽绒服装	yu~rong~fu~zhuang
羽绒的	yu~rong~de
宇宙英雄	yu~zhou~ying~xiong
予取予夺	yu~qu~yu~duo
与实行	yu~shi~xing
与时俱进	yu~shi~ju~jin
与神同行	yu~shen~tong~xing
与韩信	yu~han~xin
与此同时	yu~ci~tong~shi
愚公移山	yu~gong~yi~shan
愚公	yu~gong
愚蠢的心	yu~chun~de~xin
愚爱	yu~ai
虞山镇	yu~shan~zhen
虞山	yu~shan
榆钱	yu~qian
愉快的	yu~kuai~de
渔乡	yu~xiang
渔歌子	yu~ge~zi
渔夫包	yu~fu~bao
渔洞	yu~dong
俞丽娴	yu~li~xian
鱼腥味	yu~xing~wei
鱼我所欲也	yu~wo~suo~yu~ye
鱼汤	yu~tang
鱼丝神	yu~si~shen
鱼肉	yu~rou
鱼目	yu~mu
鱼类	yu~lei
鱼背	yu~bei
余思颖	yu~si~ying
余生有妳	yu~sheng~you~nai
余鹏	yu~peng
余留	yu~liu
余光	yu~guang
余	yu
于文强	yu~wen~qiang
于他	yu~ta
于是之	yu~shi~zhi
于事无补	yu~shi~wu~bu
于波	yu~bo
於血	yu~xie
於权	yu~quan
幼安	you~an
右前方	you~qian~fang
右侧	you~ce
又在和	you~zai~he
又一个没给	you~yi~ge~mei~gei
又想你了	you~xiang~ni~le
又无视	you~wu~shi
又我说	you~wo~shuo
又稳又准	you~wen~you~zhun
又痛	you~tong
又说些	you~shuo~xie
又睡着	you~shui~zhao
又是一阵	you~shi~yi~zhen
又是一个	you~shi~yi~ge
又是威信	you~shi~wei~xin
又没有	you~mei~you
又老一岁	you~lao~yi~sui
又老	you~lao
又來个	you~lai~ge
又来一波	you~lai~yi~bo
又可以	you~ke~yi
又瞌睡了	you~ke~shui~le
又开始了	you~kai~shi~le
又开始	you~kai~shi
又开了	you~kai~le
又回来	you~hui~lai
又很	you~hen
又喝酒	you~he~jiu
又改了	you~gai~le
又改	you~gai
又放	you~fang
又都走了	you~du~zou~le
又出	you~chu
又称	you~cheng
又吵架	you~chao~jia
又不是说	you~bu~shi~shuo
又不理解	you~bu~li~jie
又不冷	you~bu~leng
又不会	you~bu~hui
又不好玩	you~bu~hao~wan
又不够	you~bu~gou
又白	you~bai
有尊严	you~zun~yan
有自己	you~zi~ji
有装备	you~zhuang~bei
有着	you~zhao
有这个人	you~zhe~ge~ren
有则	you~ze
有运费显	you~yun~fei~xian
有缘再见	you~yuan~zai~jian
有瘾	you~yin
有银座的	you~yin~zuo~de
有银子	you~yin~zi
有意义	you~yi~yi
有意可图	you~yi~ke~tu
有意见昂	you~yi~jian~ang
有一种	you~yi~zhong
有一条	you~yi~tiao
有一颗	you~yi~ke
有一股	you~yi~gu
有一点点	you~yi~dian~dian
有一处	you~yi~chu
有也不多	you~ye~bu~duo
有要图的吗	you~yao~tu~de~ma
有氧运动	you~yang~yun~dong
有眼光	you~yan~guang
有颜色	you~yan~se
有型	you~xing
有些直	you~xie~zhi
有些梯队	you~xie~ti~dui
有些事情	you~xie~shi~qing
有些事儿	you~xie~shi~er
有些时候	you~xie~shi~hou
有些莫	you~xie~mo
有些蒙	you~xie~meng
有些不懂	you~xie~bu~dong
有想玩的	you~xiang~wan~de
有误	you~wu
有我快递	you~wo~kuai~di
有问题吗	you~wen~ti~ma
有蚊帐	you~wen~zhang
有文	you~wen
有网了	you~wang~le
有网	you~wang
有退	you~tui
有图	you~tu
有通知	you~tong~zhi
有天神	you~tian~shen
有太多	you~tai~duo
有手机吗	you~shou~ji~ma
有视频	you~shi~pin
有事么	you~shi~yao
有事了	you~shi~le
有时间写	you~shi~jian~xie
有时间不	you~shi~jian~bu
有生之年	you~sheng~zhi~nian
有生	you~sheng
有什么事吗	you~shi~yao~shi~ma
有啥事儿	you~sha~shi~er
有啥办锕	you~sha~ban~a
有色	you~se
有人在	you~ren~zai
有人了	you~ren~le
有钱的	you~qian~de
有钱包	you~qian~bao
有掐	you~qia
有齐荣	you~qi~rong
有屁用	you~pi~yong
有脾气	you~pi~qi
有哦了	you~e~le
有年味	you~nian~wei
有你真好	you~ni~zhen~hao
有你去	you~ni~qu
有能力	you~neng~li
有男的	you~nan~de
有哪里	you~na~li
有哪几个	you~na~ji~ge
有名字	you~ming~zi
有美食节	you~mei~shi~jie
有美女	you~mei~nv
有没有了	you~mei~you~le
有没有货	you~mei~you~huo
有没有吧	you~mei~you~ba
有毛	you~mao
有理想	you~li~xiang
有了她	you~le~ta
有了它	you~le~ta
有空再聊	you~kong~zai~liao
有客房	you~ke~fang
有可能是	you~ke~neng~shi
有借有还	you~jie~you~huan
有叫	you~jiao
有加个	you~jia~ge
有几次	you~ji~ci
有急用	you~ji~yong
有机醋	you~ji~cu
有灰了	you~hui~le
有换群	you~huan~qun
有红血丝	you~hong~xie~si
有哼	you~heng
有嗨	you~hai
有何不可	you~he~bu~ke
有汗	you~han
有害	you~hai
有顾客	you~gu~ke
有股	you~gu
有功夫	you~gong~fu
有公交	you~gong~jiao
有个性	you~ge~xing
有个认识的	you~ge~ren~shi~de
有个皮	you~ge~pi
有个半	you~ge~ban
有福利	you~fu~li
有风	you~feng
有分	you~fen
有饭吃	you~fan~chi
有发票	you~fa~piao
有多疼	you~duo~teng
有掉线忙	you~diao~xian~mang
有点选	you~dian~xuan
有点像王选	you~dian~xiang~wang~xuan
有点想	you~dian~xiang
有点事情	you~dian~shi~qing
有点坑	you~dian~keng
有点急	you~dian~ji
有点好	you~dian~hao
有点尴尬了	you~dian~gan~ga~le
有点点	you~dian~dian
有弹性	you~dan~xing
有胆子	you~dan~zi
有单子	you~dan~zi
有答案	you~da~an
有错	you~cuo
有窗	you~chuang
有吃的	you~chi~de
有才华	you~cai~hua
有不疼	you~bu~teng
有伴	you~ban
有岸	you~an
友谊商店	you~yi~shang~dian
友谊近了	you~yi~jin~le
友久	you~jiu
游泳池	you~yong~chi
游戏厅	you~xi~ting
游戏呢	you~xi~ni
游戏类	you~xi~lei
游戏盒	you~xi~he
游戏呗	you~xi~bai
游客帮	you~ke~bang
游击队	you~ji~dui
油烟味	you~yan~wei
油烟机	you~yan~ji
油松木	you~song~mu
油卡	you~qia
油光	you~guang
油豆	you~dou
油菜	you~cai
邮路	you~lu
由此可知	you~ci~ke~zhi
悠悠球	you~you~qiu
悠闲自在	you~xian~zi~zai
悠书阁	you~shu~ge
悠然自得	you~ran~zi~de
悠久	you~jiu
幽梦一落	you~meng~yi~luo
呦这点	you~zhe~dian
忧虑	you~lv
忧患	you~huan
忧愤	you~fen
优衣库	you~yi~ku
优圈	you~quan
优劣	you~lie
优博	you~bo
用我里	yong~wo~li
用为	yong~wei
用说	yong~shuo
用钱了	yong~qian~le
用嘛热	yong~ma~re
用链接	yong~lian~jie
用卡	yong~qia
用军爱民广	yong~jun~ai~min~guang
用久了	yong~jiu~le
用户组	yong~hu~zu
用户表	yong~hu~biao
用电	yong~dian
用的是水	yong~de~shi~shui
用得到	yong~de~dao
用错了	yong~cuo~le
用车	yong~che
用餐	yong~can
用不上了	yong~bu~shang~le
用不仅	yong~bu~jin
用啊	yong~a
勇哥玩吗	yong~ge~wan~ma
勇哥	yong~ge
勇敢胡国栋	yong~gan~hu~guo~dong
勇敢爱	yong~gan~ai
泳装	yong~zhuang
咏歌	yong~ge
永远不会	yong~yuan~bu~hui
永兴河	yong~xing~he
永旺的	yong~wang~de
永清路	yong~qing~lu
永結同心	yong~jie~tong~xin
永辉	yong~hui
永恒性	yong~heng~xing
永恒花园	yong~heng~hua~yuan
永定河	yong~ding~he
永春	yong~chun
永不妥协	yong~bu~tuo~xie
永不变	yong~bu~bian
永别	yong~bie
雍容典雅	yong~rong~dian~ya
雍容	yong~rong
庸才	yong~cai
邕宁	yong~ning
佣	yong
哟在	yo~zai
哟又	yo~you
哟也	yo~ye
哟嚯	yo~huo
哟告诉	yo~gao~su
硬上	ying~shang
硬赛	ying~sai
硬朗	ying~lang
硬汉开箱	ying~han~kai~xiang
硬底化	ying~di~hua
硬笔书法	ying~bi~shu~fa
应该做的	ying~gai~zuo~de
应该有钱	ying~gai~you~qian
应该行	ying~gai~xing
应该还	ying~gai~huan
应该够	ying~gai~gou
应该不会	ying~gai~bu~hui
应爱	ying~ai
影响面	ying~xiang~mian
颖	ying
赢取	ying~qu
赢了吗	ying~le~ma
赢点	ying~dian
营造	ying~zao
营养液	ying~yang~ye
营养学	ying~yang~xue
营口太婆	ying~kou~tai~po
萤幕	ying~mu
萤光	ying~guang
迎泽区	ying~ze~qu
迎面而来	ying~mian~er~lai
迎宾街	ying~bin~jie
鹰眼	ying~yan
鹰	ying
樱桃红	ying~tao~hong
樱花节	ying~hua~jie
瑛太	ying~tai
婴幼	ying~you
婴恩人	ying~en~ren
莺飞草长	ying~fei~cao~chang
英语报纸	ying~yu~bao~zhi
英勇联盟	ying~yong~lian~meng
英侠	ying~xia
英文名	ying~wen~ming
英达	ying~da
英镑	ying~bang
印章	yin~zhang
印刷	yin~shua
印的	yin~de
隐形的翅膀	yin~xing~de~chi~bang
隐密	yin~mi
隐没	yin~mei
隐狼	yin~lang
隐居	yin~ju
隐含	yin~han
引用	yin~yong
引进	yin~jin
尹鹏飞	yin~peng~fei
淫荡	yin~dang
银座扣	yin~zuo~kou
银建	yin~jian
银灰色	yin~hui~se
银灰	yin~hui
银行了	yin~xing~le
银行得票	yin~xing~de~piao
银汉	yin~han
殷勤	yin~qin
音域呃	yin~yu~e
音鱼	yin~yu
音讯	yin~xun
音乐是什么	yin~le~shi~shi~yao
音乐人	yin~le~ren
音乐节	yin~le~jie
音标	yin~biao
茵梦	yin~meng
阴阳术	yin~yang~zhu
阴蒂	yin~di
因为我家没	yin~wei~wo~jia~mei
因为他	yin~wei~ta
因该	yin~gai
薏米粉	yi~mi~fen
熠熠发光	yi~yi~fa~guang
溢出来	yi~chu~lai
意外额	yi~wai~e
意识形态	yi~shi~xing~tai
意识到	yi~shi~dao
意林	yi~lin
意乐	yi~le
益比奥	yi~bi~ao
易燃易爆	yi~ran~yi~bao
易家湾	yi~jia~wan
异性愿	yi~xing~yuan
异想天开	yi~xiang~tian~kai
异物感	yi~wu~gan
异世界	yi~shi~jie
异国他乡	yi~guo~ta~xiang
亦跑	yi~pao
议事日程	yi~shi~ri~cheng
议论风生	yi~lun~feng~sheng
议会下院	yi~hui~xia~yuan
忆	yi
艺书系的	yi~shu~xi~de
义务教育法	yi~wu~jiao~yu~fa
义乌市	yi~wu~shi
义不容辞	yi~bu~rong~ci
倚天屠龙记	yi~tian~tu~long~ji
倚强	yi~qiang
倚楼听风雨	yi~lou~ting~feng~yu
蚁鼻钱	yi~bi~qian
以一挡五	yi~yi~dang~wu
以校之名	yi~xiao~zhi~ming
以我	yi~wo
以为是	yi~wei~shi
以为什么	yi~wei~shi~yao
以什么	yi~shi~yao
以上的	yi~shang~de
以求	yi~qiu
以前按	yi~qian~an
以旧换新	yi~jiu~huan~xin
以家乡	yi~jia~xiang
以后还很	yi~hou~huan~hen
以后吧	yi~hou~ba
以读书	yi~du~shu
已经有	yi~jing~you
已回向	yi~hui~xiang
已成	yi~cheng
疑问句	yi~wen~ju
疑难病症	yi~nan~bing~zheng
移动网	yi~dong~wang
移动通信	yi~dong~tong~xin
移动端	yi~dong~duan
胰腺癌	yi~xian~ai
姨婆	yi~po
咦咦咦	yi~yi~yi
宜山路	yi~shan~lu
宜宾	yi~bin
怡果	yi~guo
沂水配	yi~shui~pei
仪式性	yi~shi~xing
仪器厂	yi~qi~chang
仪表	yi~biao
仪	yi
依着	yi~zhao
医院拍片	yi~yuan~pai~pian
医药费	yi~yao~fei
医学院	yi~xue~yuan
衣袖	yi~xiu
衣帽间	yi~mao~jian
衣裤	yi~ku
衣冠	yi~guan
衣服上	yi~fu~shang
伊切尔	yi~qie~er
伊犁河	yi~li~he
伊尔玛薇普	yi~er~ma~wei~pu
一字一句	yi~zi~yi~ju
一桌	yi~zhuo
一准	yi~zhun
一周岁	yi~zhou~sui
一种人	yi~zhong~ren
一种感觉	yi~zhong~gan~jue
一直说	yi~zhi~shuo
一直输	yi~zhi~shu
一直哭	yi~zhi~ku
一直到老	yi~zhi~dao~lao
一直穿	yi~zhi~chuan
一只狗	yi~zhi~gou
一整天	yi~zheng~tian
一折	yi~zhe
一张都没给	yi~zhang~du~mei~gei
一站式	yi~zhan~shi
一有事	yi~you~shi
一用力	yi~yong~li
一样重	yi~yang~zhong
一样唔	yi~yang~wu
一样了	yi~yang~le
一样的月光	yi~yang~de~yue~guang
一样大	yi~yang~da
一言为定	yi~yan~wei~ding
一言不合	yi~yan~bu~he
一小口	yi~xiao~kou
一小步	yi~xiao~bu
一箱半	yi~xiang~ban
一下午了	yi~xia~wu~le
一文宁	yi~wen~ning
一万日昂	yi~wan~ri~ang
一吞	yi~tun
一头儿沉	yi~tou~er~chen
